experiment_id,parent_checkpoint,training_dataset,real_image_count,pseudo_image_count,pseudo_label_policy,filtering_method,imgsz,model_size,lr,batch,augmentation_config,best_epoch,train_loss,validation_loss,manual_visual_rating,original_precision,original_recall,original_mAP50,original_mAP50-95,clean_precision,clean_recall,clean_mAP50,clean_mAP50-95,inference_confidence,preview_video_path,full_video_path,ood_diagnostic_path,ood_avg_detections_per_frame,ood_frames_0_pct,ood_frames_1_pct,ood_frames_2_pct,ood_frames_more_than_2_pct,ood_empty_count,ood_tweezers_count,ood_needle_driver_count,ood_one_frame_tracks,ood_tracks_lte_2_frames,ood_mean_track_persistence_frames,ood_class_switches,ood_class_switch_frequency,ood_tiny_detections,ood_low_confidence_needle_driver
legacy_ssl_id,legacy_baseline,official labeled + legacy ID pseudo,61,702,"box>=0.50, frame>=0.70, stride=15",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,40,1.80875,2.16731,,0.9784838956537062,0.8665894031766369,0.92,0.7818518518518519,0.9784838956537062,0.9258400776036707,0.9858333333333333,0.8366620370370372,0.6,evaluation_videos/01_ssl_id_current_conf060.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_id_conf060.json,2.62,1.6666666666666667,8.333333333333334,27.666666666666668,62.333333333333336,3,217,566,36,50,8.931818181818182,17,0.024355300859598854,0,0
legacy_ssl_id,legacy_baseline,official labeled + legacy ID pseudo,61,702,"box>=0.50, frame>=0.70, stride=15",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,40,1.80875,2.16731,,0.9784838956537062,0.8665894031766369,0.92,0.7818518518518519,0.9784838956537062,0.9258400776036707,0.9858333333333333,0.8366620370370372,0.7,evaluation_videos/01_ssl_id_current_conf070.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_id_conf070.json,1.68,8.333333333333334,31.0,45.0,15.666666666666666,2,138,364,28,44,6.72,2,0.004662004662004662,0,0
legacy_ssl_id,legacy_baseline,official labeled + legacy ID pseudo,61,702,"box>=0.50, frame>=0.70, stride=15",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,40,1.80875,2.16731,,0.9784838956537062,0.8665894031766369,0.92,0.7818518518518519,0.9784838956537062,0.9258400776036707,0.9858333333333333,0.8366620370370372,0.5,evaluation_videos/01_legacy_ssl_id_longsegments_conf050.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_id_longsegments_conf050.json,2.887343532684284,0.2086230876216968,6.4673157162726005,16.689847009735743,76.63421418636996,319,838,2995,66,95,18.453333333333333,110,0.028011204481792718,29,0
legacy_ssl_ood,legacy_ssl_id,official labeled + legacy ID + legacy OOD pseudo,61,1369,"ID legacy; OOD box>=0.50, frame>=0.70, stride=8",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,4,2.27597,2.4644,,0.953994474538535,0.8333333333333334,0.9063425925925926,0.7396527777777777,0.953994474538535,0.8888888888888888,0.9708101851851851,0.7917347222222221,0.25,evaluation_videos/02_ssl_ood_current_conf025.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_ood_conf025.json,4.613333333333333,0.0,0.0,0.0,100.0,12,236,1136,2,5,53.23076923076923,40,0.029455081001472753,1,23
legacy_ssl_ood,legacy_ssl_id,official labeled + legacy ID + legacy OOD pseudo,61,1369,"ID legacy; OOD box>=0.50, frame>=0.70, stride=8",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,4,2.27597,2.4644,,0.953994474538535,0.8333333333333334,0.9063425925925926,0.7396527777777777,0.953994474538535,0.8888888888888888,0.9708101851851851,0.7917347222222221,0.4,evaluation_videos/02_ssl_ood_current_conf040.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_ood_conf040.json,4.29,0.0,0.0,0.0,100.0,11,157,1119,5,9,47.666666666666664,22,0.01746031746031746,1,6
legacy_ssl_ood,legacy_ssl_id,official labeled + legacy ID + legacy OOD pseudo,61,1369,"ID legacy; OOD box>=0.50, frame>=0.70, stride=8",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,4,2.27597,2.4644,,0.953994474538535,0.8333333333333334,0.9063425925925926,0.7396527777777777,0.953994474538535,0.8888888888888888,0.9708101851851851,0.7917347222222221,0.5,evaluation_videos/02_ssl_ood_current_conf050.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_ood_conf050.json,4.053333333333334,0.0,0.0,0.0,100.0,8,95,1113,9,13,39.225806451612904,8,0.006751054852320675,1,0
legacy_ssl_ood,legacy_ssl_id,official labeled + legacy ID + legacy OOD pseudo,61,1369,"ID legacy; OOD box>=0.50, frame>=0.70, stride=8",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,4,2.27597,2.4644,,0.953994474538535,0.8333333333333334,0.9063425925925926,0.7396527777777777,0.953994474538535,0.8888888888888888,0.9708101851851851,0.7917347222222221,0.6,evaluation_videos/02_ssl_ood_current_conf060.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_ood_conf060.json,3.7933333333333334,0.0,0.6666666666666666,1.3333333333333333,98.0,4,36,1098,1,2,81.28571428571429,1,0.0008896797153024911,0,0
legacy_ssl_ood,legacy_ssl_id,official labeled + legacy ID + legacy OOD pseudo,61,1369,"ID legacy; OOD box>=0.50, frame>=0.70, stride=8",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,4,2.27597,2.4644,,0.953994474538535,0.8333333333333334,0.9063425925925926,0.7396527777777777,0.953994474538535,0.8888888888888888,0.9708101851851851,0.7917347222222221,0.7,evaluation_videos/02_ssl_ood_current_conf070.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_ood_conf070.json,3.26,0.0,4.333333333333333,13.666666666666666,82.0,3,30,945,9,12,30.5625,1,0.0010570824524312897,0,0
legacy_ssl_ood,legacy_ssl_id,official labeled + legacy ID + legacy OOD pseudo,61,1369,"ID legacy; OOD box>=0.50, frame>=0.70, stride=8",confidence only,640,yolo11s,0.001429,16,legacy moderate; optimizer=auto ignored requested lr0=0.01,4,2.27597,2.4644,,0.953994474538535,0.8333333333333334,0.9063425925925926,0.7396527777777777,0.953994474538535,0.8888888888888888,0.9708101851851851,0.7917347222222221,0.5,evaluation_videos/02_legacy_ssl_ood_longsegments_conf050.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\legacy_ssl_ood_longsegments_conf050.json,3.273991655076495,0.0,0.0,10.43115438108484,89.56884561891516,395,589,3724,45,61,34.61764705882353,37,0.008092738407699038,36,0
sup_ref_640_auto_clean,yolo11s.pt (COCO),official labeled train; clean val selection,61,0,,,640,yolo11s,0.001429,16,moderate; optimizer=auto ignored requested lr0=0.01; exact legacy counterpart,128,1.9482599999999999,2.36674,,0.9721182481900336,0.8697041289832711,0.9250000000000002,0.7544537037037037,0.9721182481900336,0.9293008840554865,0.9913333333333334,0.8090157407407407,0.5,evaluation_videos/03_sup_ref_640_auto_clean_conf050.mp4,,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\experiments\ood_diagnostics\sup_ref_640_auto_clean_conf050.json,2.04,0.3333333333333333,15.0,67.0,17.666666666666668,6,0,606,27,39,12.75,2,0.0035460992907801418,0,0
